id,teams,status,ago,event,tournament,img
63,"[{'name': 'nolpenki', 'score': '0', 'country': 'eu', 'won': True}, {'name': 'Resurrection Sickness', 'score': '0', 'country': 'se', 'won': True}]",Completed,3y,Week 3–Semifinals,VALORANT Academy EU - Open Series,https://owcdn.net/img/5ed92260adc81.png
64,"[{'name': 'Infected', 'score': '0', 'country': 'se', 'won': True}, {'name': 'need more DM', 'score': '0', 'country': 'hu', 'won': True}]",Completed,3y,Week 3–Semifinals,VALORANT Academy EU - Open Series,https://owcdn.net/img/5ed92260adc81.png
58,"[{'name': 'Prodigy', 'score': '2', 'country': 'eu', 'won': True}, {'name': 'TooGoodForLan', 'score': '0', 'country': 'fi', 'won': False}]",Completed,3y,Tournament–Grand Final,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
57,"[{'name': 'Royals', 'score': '11', 'country': 'gb', 'won': False}, {'name': 'TooGoodForLan', 'score': '13', 'country': 'fi', 'won': True}]",Completed,3y,Tournament–Semifinals,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
56,"[{'name': 'fish123', 'score': '5', 'country': 'gb', 'won': False}, {'name': 'Prodigy', 'score': '13', 'country': 'eu', 'won': True}]",Completed,3y,Tournament–Semifinals,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
52,"[{'name': 'fish123', 'score': '13', 'country': 'gb', 'won': True}, {'name': 'HypHypHyp', 'score': '3', 'country': 'fr', 'won': False}]",Completed,3y,Tournament–Quarterfinals,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
53,"[{'name': 'StartedFromCS', 'score': '10', 'country': 'eu', 'won': False}, {'name': 'Prodigy', 'score': '13', 'country': 'eu', 'won': True}]",Completed,3y,Tournament–Quarterfinals,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
54,"[{'name': 'LEMONn', 'score': '9', 'country': 'fr', 'won': False}, {'name': 'Royals', 'score': '13', 'country': 'gb', 'won': True}]",Completed,3y,Tournament–Quarterfinals,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
55,"[{'name': 'TooGoodForLan', 'score': '13', 'country': 'fi', 'won': True}, {'name': 'BlackBelts', 'score': '10', 'country': 'fr', 'won': False}]",Completed,3y,Tournament–Quarterfinals,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
44,"[{'name': 'fish123', 'score': '13', 'country': 'gb', 'won': True}, {'name': '9XL', 'score': '0', 'country': 'eu', 'won': False}]",Completed,3y,Tournament–Round of 16,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
45,"[{'name': 'reserv', 'score': '11', 'country': 'eu', 'won': False}, {'name': 'HypHypHyp', 'score': '13', 'country': 'fr', 'won': True}]",Completed,3y,Tournament–Round of 16,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
46,"[{'name': 'IDDQD v2', 'score': '7', 'country': 'eu', 'won': False}, {'name': 'StartedFromCS', 'score': '13', 'country': 'eu', 'won': True}]",Completed,3y,Tournament–Round of 16,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
47,"[{'name': 'Prodigy', 'score': '13', 'country': 'eu', 'won': True}, {'name': 'Valorando', 'score': '12', 'country': 'de', 'won': False}]",Completed,3y,Tournament–Round of 16,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
48,"[{'name': 'LEMONn', 'score': '13', 'country': 'fr', 'won': True}, {'name': 'OldTownRoad', 'score': '7', 'country': 'fr', 'won': False}]",Completed,3y,Tournament–Round of 16,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
49,"[{'name': 'TBD', 'score': '', 'country': 'un', 'won': False}, {'name': 'Royals', 'score': '13', 'country': 'gb', 'won': True}]",Completed,3y,Tournament–Round of 16,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
50,"[{'name': 'TooGoodForLan', 'score': '13', 'country': 'fi', 'won': True}, {'name': 'Ferrari Peek', 'score': '10', 'country': 'cz', 'won': False}]",Completed,3y,Tournament–Round of 16,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
51,"[{'name': 'TBD', 'score': '', 'country': 'un', 'won': False}, {'name': 'BlackBelts', 'score': '13', 'country': 'fr', 'won': True}]",Completed,3y,Tournament–Round of 16,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
34,"[{'name': 'Gen.G', 'score': '2', 'country': 'kr', 'won': True}, {'name': 'T1', 'score': '1', 'country': 'kr', 'won': False}]",Completed,3y,Tournament–Grand Final,T1 x Nerd Street Gamers Invitational,https://owcdn.net/img/5ea85d21e625f.png
33,"[{'name': 'T1', 'score': '1', 'country': 'kr', 'won': True}, {'name': 'mouseSpaz', 'score': '0', 'country': 'us', 'won': False}]",Completed,3y,Tournament–Lower Final,T1 x Nerd Street Gamers Invitational,https://owcdn.net/img/5ea85d21e625f.png
32,"[{'name': 'Team Shroud', 'score': '0', 'country': 'us', 'won': False}, {'name': 'mouseSpaz', 'score': '1', 'country': 'us', 'won': True}]",Completed,3y,Tournament–Lower Round 3,T1 x Nerd Street Gamers Invitational,https://owcdn.net/img/5ea85d21e625f.png
29,"[{'name': 'mouseSpaz', 'score': '1', 'country': 'us', 'won': True}, {'name': 'Team Sonii', 'score': '0', 'country': 'us', 'won': False}]",Completed,3y,Tournament–Lower Round 2,T1 x Nerd Street Gamers Invitational,https://owcdn.net/img/5ea85d21e625f.png
30,"[{'name': 'Sentinels', 'score': '0', 'country': 'us', 'won': False}, {'name': 'Team Shroud', 'score': '1', 'country': 'us', 'won': True}]",Completed,3y,Tournament–Lower Round 2,T1 x Nerd Street Gamers Invitational,https://owcdn.net/img/5ea85d21e625f.png
31,"[{'name': 'Gen.G', 'score': '2', 'country': 'kr', 'won': True}, {'name': 'T1', 'score': '0', 'country': 'kr', 'won': False}]",Completed,3y,Tournament–Upper Final,T1 x Nerd Street Gamers Invitational,https://owcdn.net/img/5ea85d21e625f.png
25,"[{'name': 'Gen.G', 'score': '0', 'country': 'kr', 'won': True}, {'name': 'mouseSpaz', 'score': '0', 'country': 'us', 'won': True}]",Completed,3y,Tournament–Upper Semifinals,T1 x Nerd Street Gamers Invitational,https://owcdn.net/img/5ea85d21e625f.png
26,"[{'name': 'Sentinels', 'score': '0', 'country': 'us', 'won': False}, {'name': 'T1', 'score': '2', 'country': 'kr', 'won': True}]",Completed,3y,Tournament–Upper Semifinals,T1 x Nerd Street Gamers Invitational,https://owcdn.net/img/5ea85d21e625f.png
27,"[{'name': 'Prospects', 'score': '0', 'country': 'us', 'won': False}, {'name': 'Team Shroud', 'score': '1', 'country': 'us', 'won': True}]",Completed,3y,Tournament–Lower Round 1,T1 x Nerd Street Gamers Invitational,https://owcdn.net/img/5ea85d21e625f.png
28,"[{'name': 'Team Sonii', 'score': '1', 'country': 'us', 'won': True}, {'name': 'Team Kurt', 'score': '0', 'country': 'us', 'won': False}]",Completed,3y,Tournament–Lower Round 1,T1 x Nerd Street Gamers Invitational,https://owcdn.net/img/5ea85d21e625f.png
21,"[{'name': 'Gen.G', 'score': '2', 'country': 'kr', 'won': True}, {'name': 'Prospects', 'score': '0', 'country': 'us', 'won': False}]",Completed,3y,Tournament– Upper Quarterfinals,T1 x Nerd Street Gamers Invitational,https://owcdn.net/img/5ea85d21e625f.png
22,"[{'name': 'mouseSpaz', 'score': '2', 'country': 'us', 'won': True}, {'name': 'Team Shroud', 'score': '0', 'country': 'us', 'won': False}]",Completed,3y,Tournament– Upper Quarterfinals,T1 x Nerd Street Gamers Invitational,https://owcdn.net/img/5ea85d21e625f.png
23,"[{'name': 'Sentinels', 'score': '2', 'country': 'us', 'won': True}, {'name': 'Team Sonii', 'score': '0', 'country': 'us', 'won': False}]",Completed,3y,Tournament– Upper Quarterfinals,T1 x Nerd Street Gamers Invitational,https://owcdn.net/img/5ea85d21e625f.png
24,"[{'name': 'T1', 'score': '2', 'country': 'kr', 'won': True}, {'name': 'Team Kurt', 'score': '0', 'country': 'us', 'won': False}]",Completed,3y,Tournament– Upper Quarterfinals,T1 x Nerd Street Gamers Invitational,https://owcdn.net/img/5ea85d21e625f.png
417,"[{'name': 'Prodigy', 'score': '2', 'country': 'eu', 'won': True}, {'name': 'HypHypHyp', 'score': '0', 'country': 'fr', 'won': False}]",Completed,3y,#1–Grand Final,Take the Throne,https://owcdn.net/img/5f1ccdbdddbf2.png
20,"[{'name': 'smoke', 'score': '2', 'country': 'us', 'won': True}, {'name': 'Highground', 'score': '1', 'country': 'us', 'won': False}]",Completed,3y,Week 1–Playoffs,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
18,"[{'name': 'smoke', 'score': '2', 'country': 'us', 'won': True}, {'name': 'Whatever Works', 'score': '0', 'country': 'us', 'won': False}]",Completed,3y,Week 1–Playoffs,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
19,"[{'name': 'Highground', 'score': '2', 'country': 'us', 'won': True}, {'name': 'Last Minute Heroes', 'score': '0', 'country': 'us', 'won': False}]",Completed,3y,Week 1–Playoffs,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
10,"[{'name': 'smoke', 'score': '1', 'country': 'us', 'won': True}, {'name': 'Obey Alliance', 'score': '0', 'country': 'us', 'won': False}]",Completed,3y,Week 1–Group A,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
11,"[{'name': 'Orgless', 'score': '0', 'country': 'us', 'won': False}, {'name': 'Last Minute Heroes', 'score': '1', 'country': 'us', 'won': True}]",Completed,3y,Week 1–Group A,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
12,"[{'name': 'Highground', 'score': '1', 'country': 'us', 'won': True}, {'name': 'JSD', 'score': '0', 'country': 'us', 'won': False}]",Completed,3y,Week 1–Group B,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
13,"[{'name': 'Dignitas', 'score': '0', 'country': 'us', 'won': False}, {'name': 'Whatever Works', 'score': '1', 'country': 'us', 'won': True}]",Completed,3y,Week 1–Group B,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
8,"[{'name': 'smoke', 'score': '1', 'country': 'us', 'won': True}, {'name': 'Orgless', 'score': '0', 'country': 'us', 'won': False}]",Completed,3y,Week 1–Group A,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
9,"[{'name': 'Obey Alliance', 'score': '0', 'country': 'us', 'won': False}, {'name': 'Last Minute Heroes', 'score': '1', 'country': 'us', 'won': True}]",Completed,3y,Week 1–Group A,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
14,"[{'name': 'Whatever Works', 'score': '0', 'country': 'us', 'won': False}, {'name': 'JSD', 'score': '1', 'country': 'us', 'won': True}]",Completed,3y,Week 1–Group B,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
15,"[{'name': 'Dignitas', 'score': '0', 'country': 'us', 'won': False}, {'name': 'Highground', 'score': '1', 'country': 'us', 'won': True}]",Completed,3y,Week 1–Group B,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
6,"[{'name': 'Obey Alliance', 'score': '0', 'country': 'us', 'won': False}, {'name': 'Orgless', 'score': '1', 'country': 'us', 'won': True}]",Completed,3y,Week 1–Group A,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
7,"[{'name': 'smoke', 'score': '1', 'country': 'us', 'won': True}, {'name': 'Last Minute Heroes', 'score': '0', 'country': 'us', 'won': False}]",Completed,3y,Week 1–Group A,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
16,"[{'name': 'Whatever Works', 'score': '0', 'country': 'us', 'won': False}, {'name': 'Highground', 'score': '1', 'country': 'us', 'won': True}]",Completed,3y,Week 1–Group B,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
17,"[{'name': 'Dignitas', 'score': '1', 'country': 'us', 'won': True}, {'name': 'JSD', 'score': '0', 'country': 'us', 'won': False}]",Completed,3y,Week 1–Group B,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
187,"[{'name': 'fish123', 'score': '2', 'country': 'gb', 'won': True}, {'name': ""L'institut"", 'score': '0', 'country': 'fr', 'won': False}]",Completed,3y,Playoffs–Grand Final,GriziCup,https://www.vlr.gg/img/vlr/tmp/vlr.png
197,"[{'name': ""L'institut"", 'score': '2', 'country': 'fr', 'won': True}, {'name': 'TBD', 'score': '', 'country': 'un', 'won': False}]",Completed,3y,Playoffs–Semifinals,GriziCup,https://www.vlr.gg/img/vlr/tmp/vlr.png
198,"[{'name': 'fish123', 'score': '2', 'country': 'gb', 'won': True}, {'name': 'TBD', 'score': '', 'country': 'un', 'won': False}]",Completed,3y,Playoffs–Semifinals,GriziCup,https://www.vlr.gg/img/vlr/tmp/vlr.png
195,"[{'name': 'fish123', 'score': '0', 'country': 'gb', 'won': True}, {'name': 'TBD', 'score': '', 'country': 'un', 'won': True}]",Completed,3y,Playoffs–Quarterfinals,GriziCup,https://www.vlr.gg/img/vlr/tmp/vlr.png
196,"[{'name': ""L'institut"", 'score': '13', 'country': 'fr', 'won': True}, {'name': 'TBD', 'score': '', 'country': 'un', 'won': False}]",Completed,3y,Playoffs–Quarterfinals,GriziCup,https://www.vlr.gg/img/vlr/tmp/vlr.png
194,"[{'name': 'Ninjas in Pyjamas', 'score': '0', 'country': 'eu', 'won': False}, {'name': 'fish123', 'score': '2', 'country': 'gb', 'won': True}]",Completed,3y,Playoffs–Grand Final,COOLER Cup,https://www.vlr.gg/img/vlr/tmp/vlr.png
192,"[{'name': 'Ninjas in Pyjamas', 'score': '2', 'country': 'eu', 'won': True}, {'name': 'need more DM', 'score': '0', 'country': 'hu', 'won': False}]",Completed,3y,Playoffs–Semifinals,COOLER Cup,https://www.vlr.gg/img/vlr/tmp/vlr.png
193,"[{'name': ""L'institut"", 'score': '0', 'country': 'fr', 'won': True}, {'name': 'fish123', 'score': '0', 'country': 'gb', 'won': True}]",Completed,3y,Playoffs–Semifinals,COOLER Cup,https://www.vlr.gg/img/vlr/tmp/vlr.png
190,"[{'name': 'TooGoodForLan', 'score': '7', 'country': 'fi', 'won': False}, {'name': ""L'institut"", 'score': '13', 'country': 'fr', 'won': True}]",Completed,3y,Playoffs–Quarterfinals,COOLER Cup,https://www.vlr.gg/img/vlr/tmp/vlr.png
191,"[{'name': 'Prodigy', 'score': '5', 'country': 'eu', 'won': False}, {'name': 'fish123', 'score': '13', 'country': 'gb', 'won': True}]",Completed,3y,Playoffs–Quarterfinals,COOLER Cup,https://www.vlr.gg/img/vlr/tmp/vlr.png
